case,nx,ny,first_dy_m,affine_divergence_error,divergence_before,divergence_after,pressure_recovery_error,velocity_recovery_error
uniform,24,16,0.00625,4.440892098500626e-15,24.566321228252264,1.3073986337985843e-11,7.827072323607354e-13,7.105427357601002e-14
wall_clustered,24,16,0.002038683076115644,2.6645352591003757e-15,25.847358223397592,1.6086687537608668e-11,3.526068326209497e-13,3.1308289294429414e-14
wall_clustered_fine,48,32,0.0009765457657165411,5.329070518200751e-15,25.33687883685984,3.2153479878616054e-10,2.3454571618231057e-12,3.014394289735378e-13
both_axes_nonuniform,24,16,0.001035480737499539,2.220446049250313e-15,26.484189811635545,8.398615136684384e-11,4.2232883856740955e-13,8.261447081991946e-14
