case,nx,ny,height_m,stretching,iterations,u_residual,v_residual,max_scaled_divergence,mass_relative_error,energy_relative_error,temperature_residual,net_wall_heat_W_per_m,heated_wall_heat_W_per_m,mean_Nu_relative_error,mean_Cf_relative_error,elapsed_seconds
coarse,24,16,0.1,1.5,135,1.422232747324374e-06,1.4522990665077823e-07,4.996003610813204e-16,7.198022721895464e-17,2.0751889627255167e-14,2.309856743092096e-15,219.1353939591154,219.19947053891764,0.06856697175445464,0.10366154265977821,0.9531807000748813
medium,48,32,0.1,1.5,320,1.699112656328711e-06,1.431338247581164e-07,1.0567501734781716e-15,1.4396045443790928e-17,3.771803985827356e-14,3.1218018823003393e-15,217.0169061465916,217.1325141050593,0.05149545278736999,0.09442646553045031,8.409458400215954
fine,72,48,0.1,1.5,570,1.8127715682298202e-06,1.3950261006280383e-07,1.5903944827755369e-15,8.637627266274557e-17,1.1211031189052257e-13,5.670135352409883e-15,217.00932645859956,217.1643305601182,0.04921312966909564,0.10137205073194891,32.86132369982079
uniform,48,32,0.1,0.0,190,1.8823227232363924e-06,2.332827405752386e-07,1.0602250414409875e-15,1.4396045443790928e-16,6.836927746569245e-14,3.1314406184067954e-15,219.49423974509057,219.5453676195635,0.047114113531229344,0.059460284759894226,4.967972999904305
taller,48,48,0.15,1.5,360,1.9983975777744467e-06,1.4781011043051776e-07,1.5715293649742889e-15,5.758418177516373e-17,4.5026153254631076e-14,4.06753570209566e-15,217.14197943510482,217.25760694002392,0.051188969321154944,0.09775771677971912,13.881788699887693
