ConcreteCells,SteelCells,TotalCells,TimeStepS,SurfaceTemperatureC,TemperatureAt50mmC,InterfaceTemperatureC,CoreTemperatureC,DifferenceFromFinestC,MaximumEnergyResidual,MaximumNonlinearIterations,TDMADirectDifferenceK
30,10,40,4,882.008450185014,669.922348279941,596.09117964614,595.348159511049,0.0948382564725943,5.15521286307814e-12,15,3.41060513164848e-13
60,20,80,2,882.0118394491,669.948555153192,596.122745550865,595.379807048843,0.0429230891940245,1.02130131262646e-11,13,1.59161572810262e-12
120,40,160,1,882.013259259823,669.962282190195,596.140106867239,595.397211856019,0.0147317036048992,1.81472335031507e-11,11,9.09494701772928e-13
240,80,320,0.5,882.013903337628,669.969337143534,596.149228938648,595.406356455598,0,4.8198837330596e-11,10,2.61479726759717e-12
