Intervals,TimeStepS,TargetTimeS,MidplaneTemperatureC,RMSAnalyticalErrorK,MaximumAnalyticalErrorK,SymmetryErrorK,MaximumEnergyResidual,TDMADirectDifferenceK
50,0.04,54.4754321017694,1399.92392930501,0.328793593816707,0.596342514864773,3.41060513164848e-12,4.29038851749922e-12,2.27373675443232e-13
100,0.02,54.6661709404392,1399.93635347085,0.0875135880859282,0.15676108175785,1.20508047984913e-11,1.07342094044375e-11,2.27373675443232e-13
200,0.01,54.7099012700305,1399.93963922506,0.0262661145624571,0.0431460047154815,7.73070496506989e-12,3.70475672559353e-11,2.27373675443232e-13
