Scheme,OutletNusselt,CorrelationRMSError,MinimumTemperatureK,MaximumTemperatureK
Central,7.58826846162867,0.111329295199807,300,400
Upwind,7.58173899253031,0.132243300277425,300,400
Hybrid,7.58826846162867,0.111329295199807,300,400
PowerLaw,7.58405996009105,0.11359307989723,300,400
