Nx,Ny,Iterations,RMSAnalyticalErrorC,MaximumAnalyticalErrorC,EnergyImbalance,DirectSolutionDifferenceC
8,16,239,0.519162491470286,3.39454303791001,7.57992017971321e-12,1.86699367077381e-09
16,32,248,0.170172355844035,2.1269557515358,8.83900160164506e-12,1.10870246317063e-09
32,64,425,0.0519045124231094,1.21187276397103,9.56688838426651e-10,1.4450813523581e-07
64,128,1866,0.0150640254863577,0.648952522348736,5.68435823331576e-09,7.29892946083055e-07
