CellsInA,CellsInB,TotalCells,RMSErrorK,MaximumErrorK,EnergyImbalance,InterfaceFluxRelativeError,TDMADirectDifferenceK,ObservedOrder
5,2,7,0.211288563682033,0.249999999999886,1.5522042910258e-15,0,0,NaN
10,4,14,0.052822140920244,0.0624999999996589,4.46258733669917e-15,0,0,2.00000000000722
20,8,28,0.0132055352294124,0.0156249999991473,1.1253481109937e-14,0,0,2.00000000007085
40,16,56,0.00330138380825389,0.00390625000085265,1.1253481109937e-14,0,0,1.99999999960636
